Device: cuda
============================================================
Semi-Supervised Spatial Heterogeneous Graph Encoder
============================================================
  hidden=128, layers=2, heads=4
  epochs=250, lr=0.001, amp=False
  λ: recon=1.0 align=0.3 spatial=0.2 gp=1.0 rna=0.5 atac=0.5
  svd=True dim=100
  cluster_mode=joint_all
  label_ratio=0.3 label_seed=0
  [Joint_clusters HELD OUT for evaluation]

----------------------------------------
Loading graph data... (device: cuda)
  Running TruncatedSVD (dim=100)...
    Spot RNA (13775 x 10192)... explained=0.127
    Spot ATAC (13775 x 16864)... explained=0.969
    Gene (10192 x 13775)... explained=0.286
    Peak (16864 x 13775)... explained=0.998
  Pre-computing edge expression values...
    Spot-Gene (gene→spot): 688,748 edges
    Spot-Peak (peak→spot): 2,755,000 edges

  Nodes: 13775 spots + 10192 genes + 16864 peaks = 40831
  Edges: SS=39,972  SG=1,377,496  SP=5,510,000  GP=10,562
  RNA cls/TP: [14, 9, 11]  ATAC cls/TP: [8, 9, 14]
  avg  | NMI=0.4921 AMI=0.4829 ARI=0.3846 FMI=0.4608 MI=1.1207 ACC=0.5257
Epoch  180 | Loss 4.1729 | R=0.184 A=0.488 S=4.642 GP=0.078 r=2.645 a=3.027
  E13  | NMI=0.4652 AMI=0.4541 ARI=0.3316 FMI=0.4133 MI=1.0683 ACC=0.5117
  P21  | NMI=0.5294 AMI=0.5230 ARI=0.4650 FMI=0.5332 MI=1.1849 ACC=0.5714
  avg  | NMI=0.4973 AMI=0.4885 ARI=0.3983 FMI=0.4732 MI=1.1266 ACC=0.5415
Epoch  190 | Loss 4.0934 | R=0.178 A=0.457 S=4.642 GP=0.074 r=2.584 a=2.969
  E13  | NMI=0.4669 AMI=0.4553 ARI=0.3450 FMI=0.4221 MI=1.0904 ACC=0.5546
  P21  | NMI=0.5260 AMI=0.5197 ARI=0.4752 FMI=0.5421 MI=1.1847 ACC=0.5752
  avg  | NMI=0.4964 AMI=0.4875 ARI=0.4101 FMI=0.4821 MI=1.1376 ACC=0.5649
Epoch  200 | Loss 4.0377 | R=0.176 A=0.443 S=4.601 GP=0.074 r=2.535 a=2.934
  E13  | NMI=0.4524 AMI=0.4408 ARI=0.3206 FMI=0.3921 MI=1.0879 ACC=0.4893
  P21  | NMI=0.5336 AMI=0.5272 ARI=0.4780 FMI=0.5450 MI=1.1816 ACC=0.5917
  avg  | NMI=0.4930 AMI=0.4840 ARI=0.3993 FMI=0.4686 MI=1.1348 ACC=0.5405
Epoch  210 | Loss 3.9903 | R=0.172 A=0.431 S=4.588 GP=0.073 r=2.505 a=2.891
  E13  | NMI=0.4603 AMI=0.4490 ARI=0.3183 FMI=0.3977 MI=1.0726 ACC=0.4893
  P21  | NMI=0.5353 AMI=0.5291 ARI=0.4785 FMI=0.5449 MI=1.2027 ACC=0.5744
  avg  | NMI=0.4978 AMI=0.4891 ARI=0.3984 FMI=0.4713 MI=1.1376 ACC=0.5318
Epoch  220 | Loss 3.9665 | R=0.174 A=0.427 S=4.595 GP=0.074 r=2.482 a=2.862
  E13  | NMI=0.4827 AMI=0.4718 ARI=0.3464 FMI=0.4240 MI=1.1216 ACC=0.5428
  P21  | NMI=0.5383 AMI=0.5323 ARI=0.4692 FMI=0.5375 MI=1.1860 ACC=0.5744
  avg  | NMI=0.5105 AMI=0.5021 ARI=0.4078 FMI=0.4807 MI=1.1538 ACC=0.5586
Epoch  230 | Loss 3.9362 | R=0.176 A=0.416 S=4.570 GP=0.070 r=2.459 a=2.845
  E13  | NMI=0.4586 AMI=0.4475 ARI=0.3389 FMI=0.4119 MI=1.0801 ACC=0.4989
  P21  | NMI=0.5360 AMI=0.5297 ARI=0.4680 FMI=0.5361 MI=1.1908 ACC=0.5740
  avg  | NMI=0.4973 AMI=0.4886 ARI=0.4034 FMI=0.4740 MI=1.1355 ACC=0.5364
Epoch  240 | Loss 3.8949 | R=0.167 A=0.408 S=4.603 GP=0.070 r=2.419 a=2.811
  E13  | NMI=0.4669 AMI=0.4560 ARI=0.3310 FMI=0.4049 MI=1.1072 ACC=0.5336
  P21  | NMI=0.5312 AMI=0.5251 ARI=0.4755 FMI=0.5427 MI=1.1797 ACC=0.5799
  avg  | NMI=0.4991 AMI=0.4905 ARI=0.4032 FMI=0.4738 MI=1.1434 ACC=0.5567
Epoch  250 | Loss 3.9009 | R=0.177 A=0.402 S=4.596 GP=0.072 r=2.426 a=2.798
  E13  | NMI=0.4765 AMI=0.4655 ARI=0.3502 FMI=0.4208 MI=1.1343 ACC=0.5304
  P21  | NMI=0.5398 AMI=0.5336 ARI=0.4719 FMI=0.5399 MI=1.1884 ACC=0.5761
  avg  | NMI=0.5081 AMI=0.4995 ARI=0.4111 FMI=0.4803 MI=1.1614 ACC=0.5532

Best: NMI=0.5124, ARI=0.4218
Saved to output_semi_r0.3/model.pt

Extracting embeddings...
  spot  (13775, 128)
  gene  (10192, 128)
  peak  (16864, 128)

Computing Gene-Peak scores...
  gp_scores (10192, 16864)

Done! → output_semi_r0.3
