Device: cuda
============================================================
Semi-Supervised Spatial Heterogeneous Graph Encoder
============================================================
  hidden=128, layers=2, heads=4
  epochs=250, lr=0.001, amp=False
  λ: recon=1.0 align=0.3 spatial=0.2 gp=1.0 rna=0.5 atac=0.5
  svd=True dim=100
  cluster_mode=joint_all
  label_ratio=0.5 label_seed=0
  [Joint_clusters HELD OUT for evaluation]

----------------------------------------
Loading graph data... (device: cuda)
  Running TruncatedSVD (dim=100)...
    Spot RNA (13775 x 10192)... explained=0.127
    Spot ATAC (13775 x 16864)... explained=0.969
    Gene (10192 x 13775)... explained=0.286
    Peak (16864 x 13775)... explained=0.998
  Pre-computing edge expression values...
    Spot-Gene (gene→spot): 688,748 edges
    Spot-Peak (peak→spot): 2,755,000 edges

  Nodes: 13775 spots + 10192 genes + 16864 peaks = 40831
  Edges: SS=39,972  SG=1,377,496  SP=5,510,000  GP=10,562
  RNA cls/TP: [14, 9, 11]  ATAC cls/TP: [8, 9, 14]
  avg  | NMI=0.4992 AMI=0.4899 ARI=0.4049 FMI=0.4733 MI=1.1543 ACC=0.5369
Epoch  180 | Loss 4.2581 | R=0.178 A=0.472 S=4.488 GP=0.076 r=2.790 a=3.139
  E13  | NMI=0.4577 AMI=0.4454 ARI=0.3131 FMI=0.3878 MI=1.0931 ACC=0.4755
  P21  | NMI=0.5417 AMI=0.5354 ARI=0.4791 FMI=0.5456 MI=1.2112 ACC=0.5841
  avg  | NMI=0.4997 AMI=0.4904 ARI=0.3961 FMI=0.4667 MI=1.1521 ACC=0.5298
Epoch  190 | Loss 4.1851 | R=0.174 A=0.442 S=4.493 GP=0.073 r=2.731 a=3.084
  E13  | NMI=0.4550 AMI=0.4430 ARI=0.3168 FMI=0.3924 MI=1.0767 ACC=0.4641
  P21  | NMI=0.5360 AMI=0.5297 ARI=0.4789 FMI=0.5453 MI=1.2024 ACC=0.5874
  avg  | NMI=0.4955 AMI=0.4863 ARI=0.3978 FMI=0.4689 MI=1.1396 ACC=0.5258
Epoch  200 | Loss 4.1486 | R=0.171 A=0.441 S=4.454 GP=0.073 r=2.707 a=3.056
  E13  | NMI=0.4586 AMI=0.4466 ARI=0.3255 FMI=0.3969 MI=1.1019 ACC=0.4911
  P21  | NMI=0.5471 AMI=0.5408 ARI=0.4983 FMI=0.5627 MI=1.2159 ACC=0.5976
  avg  | NMI=0.5029 AMI=0.4937 ARI=0.4119 FMI=0.4798 MI=1.1589 ACC=0.5443
Epoch  210 | Loss 4.0988 | R=0.169 A=0.422 S=4.460 GP=0.072 r=2.666 a=3.012
  E13  | NMI=0.4646 AMI=0.4532 ARI=0.3226 FMI=0.3970 MI=1.1016 ACC=0.4888
  P21  | NMI=0.5462 AMI=0.5399 ARI=0.4922 FMI=0.5574 MI=1.2151 ACC=0.5887
  avg  | NMI=0.5054 AMI=0.4965 ARI=0.4074 FMI=0.4772 MI=1.1584 ACC=0.5388
Epoch  220 | Loss 4.0717 | R=0.170 A=0.416 S=4.441 GP=0.073 r=2.643 a=2.987
  E13  | NMI=0.4831 AMI=0.4718 ARI=0.3567 FMI=0.4274 MI=1.1487 ACC=0.5350
  P21  | NMI=0.5442 AMI=0.5382 ARI=0.4812 FMI=0.5479 MI=1.2025 ACC=0.5836
  avg  | NMI=0.5137 AMI=0.5050 ARI=0.4190 FMI=0.4876 MI=1.1756 ACC=0.5593
Epoch  230 | Loss 4.0481 | R=0.172 A=0.403 S=4.430 GP=0.069 r=2.629 a=2.971
  E13  | NMI=0.4856 AMI=0.4744 ARI=0.3596 FMI=0.4296 MI=1.1564 ACC=0.5382
  P21  | NMI=0.5489 AMI=0.5430 ARI=0.4878 FMI=0.5538 MI=1.2141 ACC=0.5836
  avg  | NMI=0.5172 AMI=0.5087 ARI=0.4237 FMI=0.4917 MI=1.1853 ACC=0.5609
Epoch  240 | Loss 4.0092 | R=0.162 A=0.395 S=4.432 GP=0.069 r=2.599 a=2.948
  E13  | NMI=0.4586 AMI=0.4463 ARI=0.3283 FMI=0.3993 MI=1.1038 ACC=0.4925
  P21  | NMI=0.5451 AMI=0.5395 ARI=0.4989 FMI=0.5639 MI=1.1983 ACC=0.6072
  avg  | NMI=0.5018 AMI=0.4929 ARI=0.4136 FMI=0.4816 MI=1.1510 ACC=0.5499
Epoch  250 | Loss 4.0169 | R=0.173 A=0.390 S=4.449 GP=0.070 r=2.597 a=2.937
  E13  | NMI=0.4727 AMI=0.4611 ARI=0.3519 FMI=0.4237 MI=1.1183 ACC=0.5094
  P21  | NMI=0.5537 AMI=0.5479 ARI=0.5039 FMI=0.5680 MI=1.2247 ACC=0.6056
  avg  | NMI=0.5132 AMI=0.5045 ARI=0.4279 FMI=0.4958 MI=1.1715 ACC=0.5575

Best: NMI=0.5201, ARI=0.4279
Saved to output_semi_r0.5/model.pt

Extracting embeddings...
  spot  (13775, 128)
  gene  (10192, 128)
  peak  (16864, 128)

Computing Gene-Peak scores...
  gp_scores (10192, 16864)

Done! → output_semi_r0.5
